atc_code;atc_name;conceptId;rx_norm_conceptName
J01XA03;TELAVANCINA;40166675;telavancin
J01FA15;TELITROMICINA;1702911;telithromycin
J01AA07;TETRACICLINA;1836948;tetracycline
J01BA02;TIAMFENICOL ;19137362;thiamphenicol
J01CA13;TICARCILINA ;1702364;ticarcillin
J01AA12;TIGECICLINA;1742432;tigecycline
J01XD02;TINIDAZOL ;1702559;tinidazole
J01GB01;TOBRAMICINA;902722;tobramycin
J01EA01;TRIMETOPRIMA;1705674;trimethoprim
J01FA08;TROLEANDOMICINA ;19006043;troleandomycin
J01MA13;TROVAFLOXACINO;1712549;trovafloxacin
J01XA01;VANCOMICINA;1707687;vancomycin
J02AC03;VORICONAZOL;1714277;voriconazole
